holder_id,holder_name
1,MEDISSEN SDN. BHD.
2,1 DOC MEDICAL GROUP SDN. BHD.
3,123 LIVE MALL MALAYSIA SDN. BHD.
4,1991 WELLNESS GLOBAL SDN. BHD.
5,2 Wise Men Empire
6,26 Beaute Saloon
7,26 GREENTECH VENTURES
8,30 MAPLE SDN. BHD.
9,3AM MANUFACTURING SDN. BHD.
10,3P CELL SDN. BHD.
11,3PRHYME Global Sdn Bhd
12,4 FIT TRADING
13,4U2 Cosmetic (malaysia) Sdn Bhd
14,9 SECRETS BEAUTY
15,9 SKIN BEAUTY SDN. BHD.
16,9 STAR ENTERPRISE (M) SDN. BHD.
17,A & C ONLINE SDN. BHD.
18,A DIANA COLLECTION
19,A LEGEND BRANDING SDN. BHD.
20,A PACK PERSONAL CARE SDN BHD
21,A PLUS ONE SDN BHD
22,A&K SOLUTIONS
23,A. MENARINI SINGAPORE PTE. LTD.
24,A2 WAX SDN. BHD.
25,A4S GLOBAL MALAYSIA SDN. BHD.
26,AA ALIVE SDN BHD
27,AA BZA RICHER SDN. BHD.
28,AA MEGA LEGACY
29,AARIANA MAKEUP BEAUTY & STUDIO
30,ABEAUTE SDN. BHD.
31,ABNER BEAUTY
32,ABUYOUSEF MARKETING
33,ABYRA STAR EMPIRE
34,ACCESS BRAND MANAGEMENT (MALAYSIA) SDN. BHD.
35,ACE COSMETICS SDN. BHD.
36,ACE21 SDN. BHD.
37,ACTIVEPLUS LABORATORY
38,ADA COSMETICS INTERNATIONAL SDN. BHD.
39,ADEVA HAIR CARE TRADING
40,ADONIS BEAUTY CONSULTANTS SDN. BHD.
41,ADORE MELL HEALTH & BEAUTY
42,ADSENTIAL SDN. BHD.
43,ADVANCED AESTHETIC ASIA ACADEMY (M) SDN. BHD.
44,AEIRE COSMETIC ENTERPRISE
45,AEMI TRADING SDN. BHD.
46,AEON CO. (M) BHD.
47,AESD INTERNATIONAL (M) SDN. BHD.
48,AESIRA GRACE PERKONGSIAN LIABILITI TERHAD
49,AESSENCE SHAH ALAM SDN. BHD.
50,AESTHETIC SKIN CONCEPT SDN BHD
51,AESTHETICS MARKETING ASIA SDN BHD
52,AESTRA HOLDINGS SDN. BHD.
53,AETAS AESTHETICS SDN. BHD.
54,AF MANUFACTURING SERVICES SDN. BHD.
55,AF TUMBUH TEGUH TRADING
56,AFRINA FA GROUP SDN BHD
57,AI&MI SDN. BHD.
58,AIAI HAIR AND BEAUTY (M) SDN. BHD.
59,AIINUR GLOBAL EMPIRE
60,AILEZEE EMPIRE
61,AILEZEE RICH SDN BHD
62,AIM-DEMASUCO (M) SDN. BHD.
63,AIME BLP BEAUTECARE
64,AIREE BEAUTY CARE
65,AIVE WIN ENTERPRISE
66,AIVORIA GROUP SDN. BHD.
67,AJ RESEARCH & PHARMA SDN. BHD.
68,AKARDYA TECHNOLOGY
69,AKAS LEGACY SDN BHD
70,AKLINIK SDN. BHD.
71,AL MAQUL SDN. BHD.
72,AL NABIL SDN. BHD.
73,AL-MESWAK MU'MIN SDN BHD
74,ALAMAL TRADING SDN. BHD.
75,ALAYNA AURA NIAGA SDN. BHD.
76,ALFAPEN SDN BHD
77,ALFAT GLOBAL SDN. BHD.
78,ALHA ALFA RICH LEGACY SDN.BHD.
79,ALJ TRADING MALAYSIA SDN. BHD.
80,ALL WEALTH BEAUTY CONCEPT SDN BHD
81,ALLIANCE COSMETICS SDN. BHD.
82,ALLIANCE INTEGRITY TRADING SDN. BHD.
83,ALLUORA SDN. BHD.
84,ALMAN SHIRAZ ENTERPRISE
85,ALMAS TRADING SDN. BHD.
86,ALME NIAGA SDN BHD
87,ALMYRA BEAUTY SOLUTIONS
88,ALORIE HOSPITALITY SDN BHD
89,ALPHANUTRITION WELLNESS SDN. BHD
90,ALWAYS YOUNG DERMAL SOLUTIONS PLT
91,ALYAN VENTURE RESOURCES
92,AMA COSMECEUTICAL
93,AMAL KONSORTIUM SDN. BHD.
94,AMAZING 31 TRADING
95,AMBER ASPIRE SDN. BHD.
96,AMG Wellness Sdn. Bhd.
97,AMLION TOOTHPASTE MFG. SDN. BHD.
98,AMOREPACIFIC MALAYSIA SDN. BHD.
99,AMOUAGE SDN. BHD.
100,AMR OUTLET
101,AMWAY (MALAYSIA) SDN. BHD.
102,AMYLEA GROUP SDN. BHD.
103,ANAIKA COLLECTIONS SDN BHD
104,ANAKKU SDN BHD
105,ANBEV ENTERPRISE
106,ANCIENT GARDENS SDN. BHD.
107,ANGEL PERFECT SDN. BHD.
108,ANGELS BEAUTY CARE
109,ANIQA WOW BEAUTY
110,ANIS BEAUTY COSMETICS
111,ANITA FRAGRANCE COSMETIC LABORATORY
