ingredient_id,ingredient_name,ingredient_risk_type,ingredient_risk_summary
1,Mercury,Banned,"Extremely dangerous heavy metal that's banned worldwide in skincare. Can poison your nervous system, damage kidneys, and cause permanent skin color changes. Small amounts through skin can cause shaking, memory problems, and breathing issues. "
2,Tretnon,Banned,"A strong acne medicine that requires a doctor's prescription. Causes severe skin peeling, redness, and makes your skin extremely sensitive to sun damage. Can harm unborn babies if used during pregnancy. Too strong for regular skincare without medical supervision."
3,Clindamycin,Banned,Prescription antibiotic that shouldn't be in skincare products. Misuse creates dangerous drug-resistant bacteria and can cause severe allergic reactions. May disrupt your skin's natural protective bacteria and cause serious stomach problems. 
4,Hydroquinone,Banned,"Skin bleaching chemical banned in Europe and restricted in the US due to cancer risks. Can cause permanent blue-black skin patches, eye damage, and breathing problems. "
5,Steroid,Banned,"Powerful prescription medicines that thin your skin, cause stretch marks, and increase infection risk. Can disrupt your body's natural hormones and cause skin to become paper-thin and easily damaged. Never safe in regular skincare - these need strict medical monitoring to prevent serious side effects."
6,Diphenhydramine,Banned,"Allergy medicine that causes drowsiness and confusion when absorbed through skin. Can make you feel dizzy, cause urinary problems, and interact dangerously with other medications you're taking. Especially risky for elderly people and can cause opposite effects (hyperactivity) in children."
7,Hydroquinone And Tretinoin,Banned,"Dangerous combination that multiplies the risks of both ingredients. The bleaching agent increases cancer risk while tretinoin makes skin absorb more chemicals and become extremely sun-sensitive. Together they can cause permanent skin damage, severe irritation, and amplified toxic effects throughout your body."
8,Tretinoin,Banned,"Strong acne prescription that requires doctor supervision. Causes severe skin peeling, burning, and dangerous sun sensitivity requiring daily sunscreen. Can cause birth defects during pregnancy. One major study had to stop early due to increased deaths, possibly from the drug affecting lungs and other organs."
9,Methyl Salicylate,Banned,"Muscle pain reliever that can burn skin and poison your system when absorbed. Can cause severe skin burns, difficulty breathing, and aspirin-like poisoning with ringing ears and nausea. Extremely dangerous for children and anyone allergic to aspirin - can be life-threatening."
10,Menthol,Banned,"Cooling ingredient that can cause allergic reactions and breathing problems when concentrated. May trigger chemical burns, worsen asthma, and cause dangerous breathing issues in babies. While safe in small amounts, concentrated menthol in skincare can cause serious skin and respiratory reactions."
