prod_notif_no,ingredient_id
NOT200603276K,1
NOT180503436K,1
NOT180503437K,2
NOT180503439K,1
NOT180503440K,2
NOT180503441K,1
NOT180503442K,2
NOT221004660K,1
NOT181003521K,3
NOT220202802K,1
NOT170600522K,4
NOT170801150K,1
NOT190904416K,5
NOT200205124K,1
NOT170804496K,1
NOT151204804K,1
NOT180103663K,6
NOT180202851K,6
NOT191200526K,7
NOT201107589K,4
NOT201107589K,8
NOT201107589K,5
NOT190900489K,7
NOT190907469K,7
NOT220707389K,1
NOT200604601K,1
NOT220601259K,4
NOT220601259K,8
NOT190200461K,1
NOT190200462K,1
NOT190806808K,7
NOT190808060K,2
NOT211005337K,9
NOT221102979K,10
NOT221102979K,9
NOT221102979K,11
NOT180802788K,12
NOT180802788K,13
NOT180802788K,14
NOT180802788K,15
NOT180802789K,13
NOT180802789K,16
NOT180802789K,17
NOT180802789K,12
NOT180802789K,18
NOT220501104K,19
NOT191203847K,5
NOT191203847K,1
NOT171004771K,2
NOT171004771K,4
NOT190108080K,4
NOT180105344K,1
NOT181002913K,4
NOT181002913K,5
NOT181002911K,5
NOT181002912K,1
NOT180104881K,1
NOT160802315K,4
NOT160802315K,2
NOT190506522K,4
NOT180104880K,7
NOT131006026K,1
NOT171200081K,7
NOT180205661K,1
NOT220301718K,1
NOT220301716K,4
NOT220301717K,1
NOT211002945K,4
NOT211002945K,8
NOT211002945K,5
NOT220504138K,20
NOT190708278K,5
NOT190708278K,1
NOT170900717K,1
NOT240201187K,5
NOT240201187K,1
NOT240201186K,4
NOT240201186K,8
NOT210305182K,5
NOT210305183K,1
NOT170201663K,1
NOT170806887K,1
NOT181006812K,1
NOT210604359K,19
NOT230903286K,1
NOT210701629K,4
NOT210701629K,8
NOT160300509K,1
NOT220903606K,1
NOT220903606K,5
NOT160300410K,1
NOT160300556K,7
NOT171003557K,1
NOT190107639K,4
NOT200306590K,1
NOT170200716K,2
NOT170200716K,4
NOT170200716K,1
NOT201004624K,4
NOT160506024K,1
NOT170204393K,2
NOT170204393K,4
NOT200901749K,1
NOT190605136K,1
NOT150903694K,1
NOT200405779K,8
NOT200405779K,4
NOT200405779K,5
NOT220102940K,1
NOT200704119K,1
NOT150900193K,1
NOT140304146K,7
NOT190702019K,1
NOT220106011K,8
NOT220106011K,5
NOT220106011K,4
NOT170402517K,1
NOT150501310K,1
NOT180705530K,1
NOT210605524K,1
NOT210302928K,1
NOT191103319K,17
NOT230202916K,21
NOT210700039K,1
NOT200706569K,4
NOT200706569K,5
NOT221003358K,1
NOT180901024K,1
NOT180901024K,5
NOT180901005K,1
NOT201003378K,1
NOT170303016K,1
NOT170505954K,7
NOT171202673K,1
NOT211004813K,1
NOT200800620K,4
NOT200800620K,8
NOT190107782K,13
NOT190107782K,14
NOT190107782K,15
NOT190107782K,12
NOT180706781K,4
NOT170203545K,4
NOT220503570K,20
NOT220605474K,1
NOT190906503K,1
NOT220806521K,22
NOT220806521K,23
NOT220806521K,24
NOT220806521K,25
NOT220806521K,26
NOT220806521K,27
NOT201005624K,28
NOT201005624K,29
NOT201005624K,30
NOT201005624K,31
NOT201005624K,32
NOT220900643K,22
NOT220900643K,23
NOT220900643K,33
NOT220900643K,24
NOT220900643K,34
NOT220900643K,26
NOT221204222K,22
NOT221204222K,35
NOT221204222K,36
NOT221204222K,23
NOT221204222K,37
NOT221204222K,26
NOT221204222K,27
NOT201100313K,22
NOT201100313K,35
NOT201100313K,36
NOT201100313K,23
NOT201100313K,37
NOT201100313K,26
NOT201100313K,27
NOT220900882K,22
NOT220900882K,38
NOT220900882K,39
NOT220900882K,23
NOT220900882K,40
NOT220900882K,26
NOT221001498K,22
NOT221001498K,41
NOT221001498K,42
NOT221001498K,43
NOT221001498K,44
NOT221001498K,27
NOT200905890K,28
NOT200905890K,45
NOT200905890K,29
NOT200905890K,30
NOT200905890K,31
NOT200905890K,32
NOT221003585K,46
NOT221003585K,47
NOT221003585K,48
NOT221003585K,49
NOT221003585K,50
NOT221003585K,51
NOT221003585K,52
NOT181206857K,22
NOT181206857K,23
NOT181206857K,26
NOT220806832K,22
NOT220806832K,23
NOT220806832K,26
NOT201106230K,22
NOT201106230K,23
NOT201106230K,26
NOT181008088K,22
NOT181008088K,23
NOT181008088K,26
NOT220900712K,22
NOT220900712K,23
NOT220900712K,26
NOT220903264K,22
NOT220903264K,23
NOT220903264K,26
NOT201102288K,41
NOT201102288K,53
NOT201102288K,54
NOT201102288K,55
NOT201102288K,56
NOT201102288K,57
NOT221004441K,22
NOT221004441K,23
NOT221004441K,58
NOT221004441K,25
NOT221004441K,26
NOT221004441K,59
NOT221004441K,60
NOT221004441K,27
NOT220803086K,22
NOT220803086K,23
NOT220803086K,26
NOT220906772K,22
NOT220906772K,23
NOT220906772K,26
NOT220710163K,22
NOT220710163K,23
NOT220710163K,24
NOT220710163K,61
NOT220710163K,62
NOT220710163K,63
NOT220710163K,64
NOT220710163K,26
NOT220710163K,27
NOT220904935K,22
NOT220904935K,23
NOT220904935K,26
NOT221202203K,22
NOT221202203K,23
NOT221202203K,26
NOT230203411K,22
NOT230203411K,23
NOT230203411K,26
NOT181105314K,22
NOT181105314K,23
NOT181105314K,26
NOT201001967K,22
NOT201001967K,23
NOT201001967K,26
NOT220901297K,46
NOT220901297K,47
NOT220901297K,48
NOT220901297K,49
NOT220901297K,50
NOT220901297K,51
NOT220901297K,52
NOT220707660K,22
NOT220707660K,23
NOT220707660K,26
NOT200906807K,22
NOT200906807K,23
NOT200906807K,26
NOT220906738K,22
NOT220906738K,23
NOT220906738K,26
NOT220906248K,22
NOT220906248K,33
NOT220906248K,52
NOT220906248K,65
NOT220906248K,24
NOT220906248K,23
NOT220906248K,26
NOT220906483K,22
NOT220906483K,23
NOT220906483K,24
NOT220906483K,61
NOT220906483K,62
NOT220906483K,63
NOT220906483K,64
NOT220906483K,26
NOT220906483K,27
NOT220801550K,22
NOT220801550K,33
NOT220801550K,52
NOT220801550K,65
NOT220801550K,24
NOT220801550K,23
NOT220801550K,26
NOT220805921K,22
NOT220805921K,23
NOT220805921K,26
NOT221101617K,22
NOT221101617K,23
NOT221101617K,24
NOT221101617K,61
NOT221101617K,62
NOT221101617K,63
NOT221101617K,64
NOT221101617K,26
NOT221101617K,27
NOT221004058K,22
NOT221004058K,23
NOT221004058K,24
NOT221004058K,61
NOT221004058K,62
NOT221004058K,63
NOT221004058K,64
NOT221004058K,26
NOT221004058K,27
NOT220905519K,22
NOT220905519K,38
NOT220905519K,39
NOT220905519K,23
NOT220905519K,40
NOT220905519K,26
NOT161100256K,22
NOT161100256K,23
NOT161100256K,26
NOT221002361K,28
NOT221002361K,45
NOT221002361K,29
NOT221002361K,30
NOT221002361K,31
NOT221002361K,32
NOT220803976K,22
NOT220803976K,23
NOT220803976K,24
NOT220803976K,61
NOT220803976K,62
NOT220803976K,63
NOT220803976K,64
NOT220803976K,26
NOT220803976K,27
NOT221205724K,22
NOT221205724K,23
NOT221205724K,24
NOT221205724K,61
NOT221205724K,62
NOT221205724K,63
NOT221205724K,64
NOT221205724K,26
NOT221205724K,27
NOT221201059K,41
NOT221201059K,53
NOT221201059K,54
NOT221201059K,55
NOT221201059K,56
NOT221201059K,57
NOT221001394K,22
NOT221001394K,23
NOT221001394K,26
NOT221204195K,22
NOT221204195K,23
NOT221204195K,24
NOT221204195K,61
NOT221204195K,62
NOT221204195K,63
NOT221204195K,64
NOT221204195K,26
NOT221204195K,27
NOT221103149K,28
NOT221103149K,45
NOT221103149K,29
NOT221103149K,30
NOT221103149K,31
NOT221103149K,32
NOT221205789K,22
NOT221205789K,23
NOT221205789K,24
NOT221205789K,61
NOT221205789K,62
NOT221205789K,63
NOT221205789K,64
NOT221205789K,26
NOT221205789K,27
NOT221203916K,22
NOT221203916K,23
NOT221203916K,26
NOT221202187K,22
NOT221202187K,23
NOT221202187K,58
NOT221202187K,25
NOT221202187K,26
NOT221202187K,59
NOT221202187K,60
NOT221202187K,27
NOT221204913K,22
NOT221204913K,23
NOT221204913K,58
NOT221204913K,25
NOT221204913K,26
NOT221204913K,59
NOT221204913K,60
NOT221204913K,27
NOT220903623K,22
NOT220903623K,23
NOT220903623K,33
NOT220903623K,24
NOT220903623K,34
NOT220903623K,66
NOT220903623K,26
NOT220900162K,28
NOT220900162K,45
NOT220900162K,29
NOT220900162K,30
NOT220900162K,31
NOT220900162K,32
NOT201007001K,22
NOT201007001K,23
NOT201007001K,58
NOT201007001K,25
NOT201007001K,26
NOT201007001K,59
NOT201007001K,60
NOT201007001K,27
NOT221103185K,22
NOT221103185K,23
NOT221103185K,58
NOT221103185K,25
NOT221103185K,26
NOT221103185K,59
NOT221103185K,60
NOT221103185K,27
NOT160900426K,22
NOT160900426K,23
NOT160900426K,26
NOT201100731K,22
NOT201100731K,23
NOT201100731K,26
NOT180802650K,22
NOT180802650K,23
NOT180802650K,26
NOT221001249K,46
NOT221001249K,47
NOT221001249K,48
NOT221001249K,49
NOT221001249K,50
NOT221001249K,51
NOT221001249K,52
NOT221202133K,46
NOT221202133K,47
NOT221202133K,48
NOT221202133K,49
NOT221202133K,50
NOT221202133K,51
NOT221202133K,52
NOT221205692K,22
NOT221205692K,23
NOT221205692K,24
NOT221205692K,61
NOT221205692K,62
NOT221205692K,63
NOT221205692K,64
NOT221205692K,26
NOT221205692K,27
NOT221001171K,22
NOT221001171K,23
NOT221001171K,26
NOT221000569K,22
NOT221000569K,23
NOT221000569K,26
NOT200906150K,22
NOT200906150K,23
NOT200906150K,24
NOT200906150K,61
NOT200906150K,62
NOT200906150K,63
NOT200906150K,64
NOT200906150K,26
NOT200906150K,27
NOT220801980K,22
NOT220801980K,23
NOT220801980K,26
NOT201200980K,41
NOT201200980K,53
NOT201200980K,54
NOT201200980K,55
NOT201200980K,56
NOT201200980K,57
NOT220904603K,22
NOT220904603K,23
NOT220904603K,24
NOT220904603K,61
NOT220904603K,62
NOT220904603K,63
NOT220904603K,64
NOT220904603K,26
NOT220904603K,27
NOT220803665K,22
NOT220803665K,23
NOT220803665K,26
NOT180807007K,22
NOT180807007K,23
NOT180807007K,24
NOT180807007K,61
NOT180807007K,62
NOT180807007K,63
NOT180807007K,64
NOT180807007K,26
NOT180807007K,27
NOT220802594K,22
NOT220802594K,23
NOT220802594K,24
NOT220802594K,61
NOT220802594K,62
NOT220802594K,63
NOT220802594K,64
NOT220802594K,26
NOT220802594K,27
NOT221108055K,22
NOT221108055K,23
NOT221108055K,26
NOT201107597K,22
NOT201107597K,23
NOT201107597K,24
NOT201107597K,61
NOT201107597K,62
NOT201107597K,63
NOT201107597K,64
NOT201107597K,26
NOT201107597K,27
NOT220902784K,22
NOT220902784K,23
NOT220902784K,26
NOT181205231K,28
NOT181205231K,45
NOT181205231K,29
NOT181205231K,30
NOT181205231K,31
NOT181205231K,32
NOT220802638K,28
NOT220802638K,45
NOT220802638K,29
NOT220802638K,30
NOT220802638K,31
NOT220802638K,32
NOT220900307K,22
NOT220900307K,23
NOT220900307K,24
NOT220900307K,61
NOT220900307K,62
NOT220900307K,63
NOT220900307K,64
NOT220900307K,26
NOT220900307K,27
NOT221101064K,22
NOT221101064K,23
NOT221101064K,26
NOT221201850K,22
NOT221201850K,23
NOT221201850K,26
NOT221105118K,28
NOT221105118K,45
NOT221105118K,29
NOT221105118K,30
NOT221105118K,31
NOT221105118K,32
NOT201104383K,22
NOT201104383K,23
NOT201104383K,24
NOT201104383K,61
NOT201104383K,62
NOT201104383K,63
NOT201104383K,64
NOT201104383K,26
NOT201104383K,27
NOT221105052K,22
NOT221105052K,23
NOT221105052K,26
NOT221203653K,22
NOT221203653K,23
NOT221203653K,24
NOT221203653K,61
NOT221203653K,62
NOT221203653K,63
NOT221203653K,64
NOT221203653K,26
NOT221203653K,27
NOT181103372K,22
NOT181103372K,23
NOT181103372K,24
NOT181103372K,61
NOT181103372K,62
NOT181103372K,63
NOT181103372K,64
NOT181103372K,26
NOT181103372K,27
NOT220801414K,22
NOT220801414K,23
NOT220801414K,26
NOT221100046K,22
NOT221100046K,23
NOT221100046K,26
NOT221203136K,22
NOT221203136K,23
NOT221203136K,33
NOT221203136K,24
NOT221203136K,34
NOT221203136K,66
NOT221203136K,26
NOT200801922K,22
NOT200801922K,35
NOT200801922K,36
NOT200801922K,23
NOT200801922K,37
NOT200801922K,26
NOT200801922K,27
NOT181106342K,22
NOT181106342K,23
NOT181106342K,24
NOT181106342K,61
NOT181106342K,62
NOT181106342K,63
NOT181106342K,64
NOT181106342K,26
NOT181106342K,27
NOT201103774K,22
NOT201103774K,23
NOT201103774K,26
NOT221103965K,22
NOT221103965K,23
NOT221103965K,26
NOT161201064K,22
NOT161201064K,23
NOT161201064K,26
NOT200907182K,22
NOT200907182K,23
NOT200907182K,26
NOT201200589K,22
NOT201200589K,33
NOT201200589K,52
NOT201200589K,65
NOT201200589K,24
NOT201200589K,23
NOT201200589K,26
NOT180906529K,22
NOT180906529K,23
NOT180906529K,26
NOT201203941K,28
NOT201203941K,45
NOT201203941K,29
NOT201203941K,30
NOT201203941K,31
NOT201203941K,32
NOT221107593K,22
NOT221107593K,38
NOT221107593K,39
NOT221107593K,23
NOT221107593K,40
NOT221107593K,26
NOT200907474K,22
NOT200907474K,23
NOT200907474K,24
NOT200907474K,61
NOT200907474K,62
NOT200907474K,63
NOT200907474K,64
NOT200907474K,26
NOT200907474K,27
NOT220902509K,41
NOT220902509K,53
NOT220902509K,54
NOT220902509K,55
NOT220902509K,56
NOT220902509K,57
NOT201201907K,22
NOT201201907K,23
NOT201201907K,26
NOT221201920K,22
NOT221201920K,23
NOT221201920K,24
NOT221201920K,61
NOT221201920K,62
NOT221201920K,63
NOT221201920K,64
NOT221201920K,26
NOT221201920K,27
NOT221103669K,22
NOT221103669K,23
NOT221103669K,26
NOT220903739K,22
NOT220903739K,23
NOT220903739K,26
NOT220903807K,22
NOT220903807K,23
NOT220903807K,33
NOT220903807K,24
NOT220903807K,34
NOT220903807K,66
NOT220903807K,26
NOT221200096K,22
NOT221200096K,23
NOT221200096K,26
NOT221004557K,41
NOT221004557K,53
NOT221004557K,54
NOT221004557K,55
NOT221004557K,56
NOT221004557K,57
NOT221106169K,22
NOT221106169K,23
NOT221106169K,26
NOT220708715K,22
NOT220708715K,23
NOT220708715K,24
NOT220708715K,61
NOT220708715K,62
NOT220708715K,63
NOT220708715K,64
NOT220708715K,26
NOT220708715K,27
NOT200805847K,22
NOT200805847K,23
NOT200805847K,26
NOT220902662K,67
NOT220902662K,28
NOT220902662K,29
NOT220902662K,68
NOT220902662K,31
NOT220902662K,65
NOT221203812K,41
NOT221203812K,53
NOT221203812K,54
NOT221203812K,55
NOT221203812K,56
NOT221203812K,57
NOT221002692K,22
NOT221002692K,23
NOT221002692K,58
NOT221002692K,25
NOT221002692K,26
NOT221002692K,59
NOT221002692K,60
NOT221002692K,27
NOT201102956K,22
NOT201102956K,23
NOT201102956K,24
NOT201102956K,61
NOT201102956K,62
NOT201102956K,63
NOT201102956K,64
NOT201102956K,26
NOT201102956K,27
NOT200803294K,22
NOT200803294K,23
NOT200803294K,26
NOT221001492K,22
NOT221001492K,35
NOT221001492K,36
NOT221001492K,23
NOT221001492K,37
NOT221001492K,26
NOT221001492K,27
NOT201103643K,41
NOT201103643K,53
NOT201103643K,54
NOT201103643K,55
NOT201103643K,56
NOT201103643K,57
NOT220901801K,22
NOT220901801K,23
NOT220901801K,24
NOT220901801K,61
NOT220901801K,62
NOT220901801K,63
NOT220901801K,64
NOT220901801K,26
NOT220901801K,27
NOT221202621K,46
NOT221202621K,47
NOT221202621K,48
NOT221202621K,49
NOT221202621K,50
NOT221202621K,51
NOT221202621K,52
NOT220800673K,22
NOT220800673K,23
NOT220800673K,33
NOT220800673K,24
NOT220800673K,34
NOT220800673K,66
NOT220800673K,26
NOT201105998K,22
NOT201105998K,23
NOT201105998K,26
NOT221106155K,46
NOT221106155K,47
NOT221106155K,48
NOT221106155K,49
NOT221106155K,50
NOT221106155K,51
NOT221106155K,52
NOT220902801K,28
NOT220902801K,45
NOT220902801K,29
NOT220902801K,30
NOT220902801K,31
NOT220902801K,32
NOT221106709K,22
NOT221106709K,23
NOT221106709K,26
NOT221104672K,67
NOT221104672K,28
NOT221104672K,29
NOT221104672K,68
NOT221104672K,31
NOT221104672K,65
