prod_notif_no,prod_name,holder_name,prod_status_date,prod_status_type,prod_brand,prod_category,banned_substances,holders_id
NOT220806521K,MOISU Whitening Serum,CANSUN GLOBALS SDN. BHD.,29-08-22,Clear,MOISU,Serum,,362
NOT201005624K,WYCON BOUJEE LIP PENCIL 01 REAL NUDE,ANAIKA COLLECTIONS SDN BHD,21-10-22,Clear,WYCON,Lip,,103
NOT220900643K,ERRE DUE SILKY PREMIUM EYE DEFINER 24HRS - 402,RAMS HOME DECOR SDN BHD,04-09-22,Clear,ERRE,Eye,,1675
NOT221204222K,SIGNATURE SCENTS FAIR WHITE ANTI-BAC HAND WASH - PASSION,ARIA COSMETICS SDN. BHD.,18-12-22,Clear,SIGNATURE,Cleanser,,131
NOT201100313K,Good Virtues Co. Safe & Sure Anti-Bacterial Micellar Foam Hand Wash,L&S COSMETICS AND TOILETRIES (M) SDN. BHD.,02-11-22,Clear,Good Virtues,Cleanser,,1101
NOT220900882K,NATURAL BEAUTY ALPHA ARBUTIN BRIGHTENING WATER SLEEPING MASK,BILLION SYNERGY SDN. BHD.,05-09-22,Clear,NATURAL,Mask,,284
NOT221001498K,GROWN ALCHEMIST - ENZYME EXFOLIATOR,BEAUTY IN MOTION SDN. BHD.,08-10-22,Clear,GROWN,Spray,,255
NOT200905890K,BeeMyHoney Lip Balm,Spring Pharma Sdn Bhd,21-09-22,Clear,BeeMyHoney,Lip,,1932
NOT221003585K,Avon Simply Pretty Smooth & Glow Dual Powder Foundation SPF24/PA+++ - Neutral Light Medium,AVON COSMETICS (MALAYSIA) SENDIRIAN BERHAD,18-10-22,Clear,Avon,Sunscreen,,181
NOT181206857K,T-T ORGANIC OXIDIZER  BRIGHTER - 3%,Classicor Trading,27-12-22,Clear,T-T,Other,,455
NOT220806832K,Y.O.U Amino low pH Cleansing Mousse,HEBE BEAUTY STYLE SDN. BHD.,30-08-22,Clear,Y.O.U,Other,,856
NOT201106230K,Espira Shampoo,FULIAN (M) SDN. BHD.,26-11-22,Clear,Espira,Other,,718
NOT181008088K,Neal's Yard Remedies Soothing Massage Oil,Advanced Apotheke Sdn Bhd,29-10-22,Clear,Neal's,Other,,195
NOT220900712K,NATASHA DENONA - ZENDO PALETTE - (387DC) YAMA,BEAUTY IN MOTION SDN. BHD.,05-09-22,Clear,NATASHA,Other,,255
NOT220903264K,FAVOS Extra Soothing Refreshing Scalp Shampoo,SPARK HAIRCARE SOLUTION SDN. BHD.,15-09-22,Clear,FAVOS,Other,,1852
NOT201102288K,Beaute Library Anti Wrinkle Concentration Essence,Emax Beaute International Sdn Bhd,10-11-22,Clear,Beaute,Perfume,,663
NOT221004441K,iCienorbite Premire Revitalizing Serum (Mars),NUTRICIOUS MARKETING SDN BHD,21-10-22,Clear,iCienorbite,Serum,,1475
NOT220803086K,NATASHA DENONA - TAN - BRONZE & GLOW PALETTE - GLOW IMPACT POWDER,BEAUTY IN MOTION SDN. BHD.,12-08-22,Clear,NATASHA,Other,,255
NOT220906772K,essence the highlighter 02 sunshowers #928817,PROPHARM (M) SDN. BHD.,30-09-22,Clear,essence,Other,,1621
NOT220710163K,Bath & Body Works 24 Hour Moisture Body Lotion Happy Birthday,ENVICO ENTERPRISES SDN. BHD.,29-07-22,Clear,Bath,Moisturizer,,618
NOT220904935K,H&G Shower Scrub Berry Fusion,KEN-RICH CORPORATION SDN. BHD.,22-09-22,Clear,H&G,Other,,1045
NOT221202203K,Sendayu Tinggi - Matte Translucent Powder - Oil Control Formula - Paraben Free - NATURAL,SENDAYU TINGGI BEAUTY & HEALTH (M) SDN. BHD.,09-12-22,Clear,Sendayu,Other,,1759
NOT230203411K,RB 027,TRIGGER HAPPY MELANIN SDN. BHD.,02-09-22,Clear,RB,Other,,2004
NOT181105314K,Shu Uemura Rouge Unlimited Lacquer Shine - LS CR 349,LOREAL MALAYSIA SDN. BHD.,22-11-22,Clear,Shu,Other,,1166
NOT201001967K,Dermlisse Night,PFS HEALTHCARE ASIA SDN BHD,08-10-22,Clear,Dermlisse,Other,,1580
NOT220901297K,BS SUNSCREEN SPF30,KOMBINASI TEKNOLOGI SDN. BHD.,06-09-22,Clear,BS,Sunscreen,,1072
NOT220707660K,HELEN SEWARD MEDITER THERAPY SCRUB 6/P,TOYAKO SDN BHD,25-07-22,Clear,HELEN,Other,,1994
NOT200906807K,pHformula S.P. Complex,PARVUS SDN. BHD.,23-09-22,Clear,pHformula,Other,,1559
NOT220906738K,MJLESTYLE.HOME Bergamot 100% Pure Essential Oil,MJ STYLE SDN.BHD.,30-09-22,Clear,MJLESTYLE.HOME,Other,,1323
NOT220906248K,ANCHOR JUNGLE KIDS TOOTHPASTE BUBBLE GUM 50G,SUPREME TRADING SDN. BHD.,29-09-22,Clear,ANCHOR,Foundation,,1892
